cluster_id,centroid_lat,centroid_lon,nearest_osm_feature,distance_to_osm_m,nearest_osm_lat,nearest_osm_lon,osm_count_within_5km
-1,19.62795,82.16142,Unnamed industrial feature,6468.77,19.6695441,82.2046074,0
-1,19.77733,82.15026,Unnamed industrial feature,13266.74,19.6695441,82.2046074,0
-1,19.91175,82.10748,Unnamed industrial feature,28785.52,19.6695441,82.2046074,0
-1,19.9336,82.54574,Unnamed industrial feature,25082.95,20.1307719,82.6623773,0
-1,20.02369,80.7495,Unnamed industrial feature,24744.0,20.1927991,80.9035295,0
-1,20.2119,83.44445,Unit 4,22992.2,20.3607211,83.2914029,0
-1,20.62552,83.68362,Unnamed industrial feature,20003.04,20.5568652,83.5059968,0
-1,21.13503,81.95634,Unnamed industrial feature,7768.51,21.1471257,82.0301142,0
-1,21.29213,82.60892,Unnamed industrial feature,20543.09,21.2757857,82.8064146,0
-1,21.26486,81.02413,Unnamed industrial feature,2289.86,21.2843848,81.0171043,2
-1,21.28138,81.29068,Unnamed industrial feature,7222.8,21.3054756,81.3554214,0
-1,21.30323,81.08633,Unnamed industrial feature,7271.78,21.2872945,81.0182566,0
-1,21.43159,81.0723,Unnamed industrial feature,16992.98,21.2872945,81.0182566,0
-1,21.51245,81.45631,Tenga Bhaat Daar Gaon,4760.29,21.4932534,81.4151825,1
-1,21.51826,81.31777,Durg,4601.27,21.5217377,81.2734464,1
-1,21.54801,81.10983,Unnamed industrial feature,9815.57,21.5259311,81.201713,0
-1,21.55196,81.19964,Unnamed industrial feature,2902.21,21.5259311,81.201713,1
-1,21.57734,82.07491,Unnamed industrial feature,5378.37,21.5633818,82.0251114,0
-1,21.59828,81.4677,Tenga Bhaat Daar Gaon,12879.76,21.4932534,81.4151825,0
-1,21.63847,81.39724,Tenga Bhaat Daar Gaon,16253.6,21.4932534,81.4151825,0
-1,21.65467,81.94738,Unnamed industrial feature,3900.36,21.6429282,81.9829416,1
