latitude,longitude,bright_ti4,scan,track,confidence,version,bright_ti5,frp,daynight,type,acq_DateTime,x_m,y_m,cluster_id,centroid_lat,centroid_lon,detection_count
21.37698,81.64162,307.25,0.42,0.45,n,2.0NRT,288.59,2.46,N,,2026-07-31 20:40:00,-56079.04984265822,2373367.1914947666,3,21.37309800925926,81.64323555555556,216.0
21.37817,81.67932,308.58,0.42,0.45,n,2.0NRT,288.18,2.43,N,,2026-07-31 20:40:00,-52153.80186661868,2373365.7417813535,2,21.37351172413793,81.6796589367816,348.0
21.38851,81.64832,307.23,0.42,0.45,n,2.0NRT,288.47,2.02,N,,2026-07-31 20:40:00,-55338.51599778619,2374623.6189626977,4,21.389503644859815,81.64705420560747,107.0
21.88009,83.55791,300.92,0.54,0.51,n,2.0NRT,285.5,2.23,N,,2026-07-31 20:40:00,144251.0331181198,2423540.2886134773,27,21.879728253012047,83.55263259036145,166.0
21.88115,83.5528,300.8,0.54,0.51,n,2.0NRT,285.36,2.78,N,,2026-07-31 20:40:00,143725.07541395037,2423669.626142999,27,21.879728253012047,83.55263259036145,166.0
21.91835,83.3501,301.1,0.52,0.5,n,2.0NRT,282.71,1.84,N,,2026-07-31 20:40:00,122853.69734181918,2428277.8115291763,28,21.922739138840072,83.34776789103691,569.0
21.92286,83.35115,317.63,0.52,0.5,n,2.0NRT,282.07,3.53,N,,2026-07-31 20:40:00,122974.2029766005,2428775.150499003,28,21.922739138840072,83.34776789103691,569.0
22.03915,83.73003,302.24,0.55,0.51,n,2.0NRT,284.55,2.88,N,,2026-07-31 20:40:00,162431.10460893746,2440777.648856366,32,22.03915821029083,83.73498888888889,1341.0
22.04025,83.7248,301.55,0.55,0.51,n,2.0NRT,284.31,1.75,N,,2026-07-31 20:40:00,161893.38838232035,2440911.141630926,32,22.03915821029083,83.73498888888889,1341.0
22.04485,83.72594,303.2,0.55,0.51,n,2.0NRT,283.68,1.17,N,,2026-07-31 20:40:00,162022.11013032583,2441418.3726028684,32,22.03915821029083,83.73498888888889,1341.0
22.08969,83.11682,302.24,0.5,0.49,n,2.0NRT,283.09,0.55,N,,2026-07-31 20:40:00,99205.85694088403,2447867.350869051,33,22.088120340136054,83.11716462585034,147.0
22.10646,83.12575,305.99,0.5,0.49,n,2.0NRT,283.47,1.99,N,,2026-07-31 20:40:00,100175.93304508738,2449703.116505205,34,22.106324,83.124868,10.0
22.31321,82.53134,304.28,0.46,0.47,n,2.0NRT,283.53,1.35,N,,2026-07-31 20:40:00,39426.29732198507,2474324.2262267247,13,22.31689147302905,82.5317620539419,482.0
22.31901,82.5692,305.41,0.46,0.47,n,2.0NRT,283.62,1.72,N,,2026-07-31 20:40:00,43352.96545167558,2474852.147320411,13,22.31689147302905,82.5317620539419,482.0
22.35865,82.30376,333.77,0.44,0.46,n,2.0NRT,282.35,4.39,N,,2026-07-31 20:40:00,16090.848857752222,2480081.039159167,8,22.35903025735294,82.30251974264706,272.0
22.35949,82.29956,305.8,0.44,0.46,n,2.0NRT,281.78,1.81,N,,2026-07-31 20:40:00,15660.293776115926,2480187.795965322,8,22.35903025735294,82.30251974264706,272.0
21.29788,81.60934,330.83,0.39,0.36,n,2.0NRT,297.84,3.09,D,,2026-08-01 07:52:00,-59737.867810059804,2364699.026652419,0,21.30013488372093,81.60583081395349,86.0
21.74177,83.84429,338.72,0.45,0.39,n,2.0NRT,295.37,5.46,D,,2026-08-01 07:52:00,173557.9479287052,2407577.333117146,9,21.747964999999997,83.84321110671937,506.0
21.74533,83.84377,348.35,0.45,0.39,n,2.0NRT,296.8,11.96,D,,2026-08-01 07:52:00,173512.17498595087,2407972.8994384804,9,21.747964999999997,83.84321110671937,506.0
21.74889,83.84324,341.48,0.45,0.39,n,2.0NRT,295.53,11.96,D,,2026-08-01 07:52:00,173465.37078532873,2408368.4875026206,9,21.747964999999997,83.84321110671937,506.0
21.75245,83.84271,333.3,0.45,0.39,n,2.0NRT,296.25,3.13,D,,2026-08-01 07:52:00,173418.5705407192,2408764.0761674694,9,21.747964999999997,83.84321110671937,506.0
21.756,83.84217,334.59,0.45,0.39,n,2.0NRT,294.97,3.13,D,,2026-08-01 07:52:00,173370.7164813431,2409158.578545233,9,21.747964999999997,83.84321110671937,506.0
21.75659,83.8465,334.92,0.45,0.39,n,2.0NRT,293.73,3.13,D,,2026-08-01 07:52:00,173820.2544923926,2409214.7943903096,9,21.747964999999997,83.84321110671937,506.0
21.91989,83.35123,343.28,0.43,0.38,n,2.0NRT,290.57,3.41,D,,2026-08-01 07:52:00,122974.63933266618,2428445.7348118066,28,21.922739138840072,83.34776789103691,569.0
