cluster_id,detection_count,first_seen,last_seen,centroid_lat,centroid_lon,nearest_industrial_distance_m,nearest_industrial_type,industrial_count_5km,months_active,recurrence_rate,frp_mean,frp_std,frp_cv,day_count,night_count,daynight_ratio
67,6,2025-11-03 07:27:00,2026-02-12 07:36:00,20.122306666666667,83.23021666666666,303.7705418826798,landuse=industrial,8,3.3666666666666667,1.7821782178217822,4.483333333333333,1.4920679162379529,0.3328032526924802,6,0,1.0
68,39,2025-11-03 19:56:00,2026-04-04 20:49:00,21.458989487179487,81.80049282051282,2047.5546814182785,landuse=industrial,6,5.066666666666666,7.697368421052632,0.7774358974358975,0.2911928095981654,0.3745553949316771,0,39,0.0
69,10,2025-11-03 19:57:00,2026-03-17 19:47:00,19.333853,83.42849100000001,480.570189524472,landuse=industrial,2,4.433333333333334,2.255639097744361,0.775,0.3754774738028013,0.4844870629713564,0,10,0.0
70,28,2025-11-07 20:22:00,2026-05-12 20:37:00,21.193990714285714,81.20967607142858,310.1415925230729,landuse=industrial,2,6.2,4.516129032258064,1.0271428571428571,0.2986123108133892,0.2907213039907823,0,28,0.0
71,5,2025-11-13 07:40:00,2026-02-21 08:07:00,21.15474,81.17236199999999,282.32712414447406,power=plant,6,3.333333333333333,1.5,2.71,2.084550311218225,0.7692067569070942,3,2,0.6
72,24,2025-11-13 20:09:00,2026-05-13 20:18:00,21.576925,82.02252416666666,197.4440932128313,landuse=industrial,3,6.033333333333333,3.977900552486188,1.7620833333333332,0.9273945699678195,0.5263057384541894,0,24,0.0
73,13,2025-11-13 20:09:00,2026-04-26 20:37:00,21.57450615384615,81.73447384615385,2977.977681290407,landuse=industrial,2,5.466666666666667,2.3780487804878048,0.9438461538461538,0.2683759322771716,0.2843428785332707,0,13,0.0
74,27,2025-11-13 20:09:00,2026-05-13 20:18:00,21.698744444444444,84.03175481481482,366.834162683917,landuse=industrial,6,6.033333333333333,4.475138121546961,0.8822222222222222,0.5439480555893983,0.6165658060837008,1,26,0.037037037037037035
75,7,2025-11-13 20:09:00,2026-01-24 19:20:00,22.00987571428572,83.32781571428572,599.5102335096393,landuse=industrial,5,2.3666666666666667,2.9577464788732395,0.6614285714285714,0.1857802080801012,0.2808772044407578,0,7,0.0
76,11,2025-11-13 20:09:00,2026-03-04 20:30:00,22.024102727272727,83.30734181818183,597.1425415651421,landuse=industrial,4,3.7,2.972972972972973,0.6281818181818182,0.1880328791365053,0.299328751157968,0,11,0.0
77,8,2025-11-13 20:09:00,2026-04-06 20:12:00,22.07173,83.34854125,1460.5785099571265,landuse=industrial,1,4.8,1.6666666666666667,0.335,0.1126308762538687,0.3362115709070707,0,8,0.0
78,5,2025-11-14 07:22:00,2025-11-27 08:19:00,21.761024,81.579604,18545.73491335325,power=plant,0,1.0,5.0,4.824,1.7861354931807387,0.3702602597804185,5,0,1.0
79,29,2025-11-14 19:50:00,2026-04-26 20:37:00,22.32400827586207,82.6734224137931,808.1718835685243,landuse=quarry,3,5.433333333333334,5.337423312883435,0.9472413793103448,0.5739269276019388,0.6058930069332444,0,29,0.0
80,9,2025-11-14 07:22:00,2026-04-02 19:46:00,23.43904666666667,80.23849000000001,8951.967652529098,landuse=industrial,0,4.633333333333334,1.9424460431654675,5.604444444444444,2.77767938714636,0.4956208264139025,8,1,0.8888888888888888
